filename,title,date,year,month,day
2008-09-13-IAEALibyenhattedeutschePl.txt,IAEALibyenhattedeutschePl.txt,2008-09-13,2008,09,13
2008-09-13-LibyenhattedeutschePlänezu.txt,LibyenhattedeutschePlänezu.txt,2008-09-13,2008,09,13
2008-09-15-Oppositionsarbeitistimmere.txt,Oppositionsarbeitistimmere.txt,2008-09-15,2008,09,15
2008-09-26-WirbrauchensiebenMilliarde.txt,WirbrauchensiebenMilliarde.txt,2008-09-26,2008,09,26
2008-09-27-StandortinGefahrOsramwill.txt,StandortinGefahrOsramwill.txt,2008-09-27,2008,09,27
2008-11-06-EinJuniorvomFernsehenDie.txt,EinJuniorvomFernsehenDie.txt,2008-11-06,2008,11,06
2008-11-10-KatzundMausimWendland.txt,KatzundMausimWendland.txt,2008-11-10,2008,11,10
2008-11-12-IndustrieKleineSorgenfalten.txt,IndustrieKleineSorgenfalten.txt,2008-11-12,2008,11,12
2008-11-28-ZwischenlagerfürAtommüllrec.txt,ZwischenlagerfürAtommüllrec.txt,2008-11-28,2008,11,28
2008-12-08-HeileRisikoweltZwischenlage.txt,HeileRisikoweltZwischenlage.txt,2008-12-08,2008,12,08
2008-12-10-MitteninBayernRebellenaus.txt,MitteninBayernRebellenaus.txt,2008-12-10,2008,12,10
2008-12-29-EsflutschtauchinderFlaute.txt,EsflutschtauchinderFlaute.txt,2008-12-29,2008,12,29
2009-04-05-60JahreBRDDieWirtschaftd.txt,JahreBRDDieWirtschaftd.txt,2009-04-05,2009,04,0560
2009-05-23-EinigkeitundRechtundWohlst.txt,EinigkeitundRechtundWohlst.txt,2009-05-23,2009,05,23
2009-06-04-PappkartonsstattBrennstäbe.txt,PappkartonsstattBrennstäbe.txt,2009-06-04,2009,06,04
2009-06-04-Vor20Jahrenkamdaspolitisc.txt,Vor20Jahrenkamdaspolitisc.txt,2009-06-04,2009,06,04
2009-06-20-DieEntdeckungderUmweltAuf.txt,DieEntdeckungderUmweltAuf.txt,2009-06-20,2009,06,20
2009-06-25-NaziGegnerabgestempeltals.txt,NaziGegnerabgestempeltals.txt,2009-06-25,2009,06,25
2009-07-02-ArnulfBaringKernenergieGe.txt,ArnulfBaringKernenergieGe.txt,2009-07-02,2009,07,02
2009-07-10-SiegderBeharrlichkeit.txt,SiegderBeharrlichkeit.txt,2009-07-10,2009,07,10
2009-07-16-JürgenTrittinDieRealitäten.txt,JürgenTrittinDieRealitäten.txt,2009-07-16,2009,07,16
2009-10-24-KeineChancegegenCaptainAto.txt,KeineChancegegenCaptainAto.txt,2009-10-24,2009,10,24
2009-12-18-ClemensburginSchwabingAuf.txt,ClemensburginSchwabingAuf.txt,2009-12-18,2009,12,18
2009-12-19-EinfachandersSieerlebtedi.txt,EinfachandersSieerlebtedi.txt,2009-12-19,2009,12,19
2010-01-08-AngstvorAidaVerdachtaufL.txt,AngstvorAidaVerdachtaufL.txt,2010-01-08,2010,01,08
2010-01-21-MitteninRegensburgDeckeld.txt,MitteninRegensburgDeckeld.txt,2010-01-21,2010,01,21
2010-02-16-KühlkalkuliertVonStefanDi.txt,KühlkalkuliertVonStefanDi.txt,2010-02-16,2010,02,16
2010-02-17-MitTangoundSwinggegenden.txt,MitTangoundSwinggegenden.txt,2010-02-17,2010,02,17
2010-04-10-GegnersetzenaufdieFaktoren.txt,GegnersetzenaufdieFaktoren.txt,2010-04-10,2010,04,10
2010-04-15-IdyllmitAKW.txt,IdyllmitAKW.txt,2010-04-15,2010,04,15
2010-06-09-TrügerischeRuheinGorleben.txt,TrügerischeRuheinGorleben.txt,2010-06-09,2010,06,09
2010-06-30-JetztmalimErnstBürgerradi.txt,JetztmalimErnstBürgerradi.txt,2010-06-30,2010,06,30
2010-07-23-EswardasLiedderWyhlerBau.txt,EswardasLiedderWyhlerBau.txt,2010-07-23,2010,07,23
2010-08-03-SchärfereProtestegegenStut.txt,SchärfereProtestegegenStut.txt,2010-08-03,2010,08,03
2010-09-08-WieeinstinWackersdorfMan.txt,WieeinstinWackersdorfMan.txt,2010-09-08,2010,09,08
2010-09-11-MappusHofgartenistderStut.txt,MappusHofgartenistderStut.txt,2010-09-11,2010,09,11
2010-09-20-Esgehtwiedervonvornlos.txt,Esgehtwiedervonvornlos.txt,2010-09-20,2010,09,20
2010-09-20-ProtestderGenerationenZehn.txt,ProtestderGenerationenZehn.txt,2010-09-20,2010,09,20
2010-09-20-WeitereDemosgeplantJusosw.txt,WeitereDemosgeplantJusosw.txt,2010-09-20,2010,09,20
2010-10-02-DieNachtinderdieerstenB.txt,DieNachtinderdieerstenB.txt,2010-10-02,2010,10,02
2010-10-02-InstrumentalisiertVonGeorg.txt,InstrumentalisiertVonGeorg.txt,2010-10-02,2010,10,02
2010-10-05-MühsamerKampfgegenAtomenerg.txt,MühsamerKampfgegenAtomenerg.txt,2010-10-05,2010,10,05
2010-10-06-BürgerwillenmissachtetTü.txt,BürgerwillenmissachtetTü.txt,2010-10-06,2010,10,06
2010-10-07-VondersagenhaftenEmmiBöck.txt,VondersagenhaftenEmmiBöck.txt,2010-10-07,2010,10,07
2010-10-08-BürgerprotestundParlament.txt,BürgerprotestundParlament.txt,2010-10-08,2010,10,08
2010-10-09-AntiAtomDemoinMünchen50.txt,AntiAtomDemoinMünchen50.txt,2010-10-09,2010,10,09
2010-10-09-DerProtestwirdnichteinma.txt,DerProtestwirdnichteinma.txt,2010-10-09,2010,10,09
2010-10-11-GrößteAntiAtomDemoseitWac.txt,GrößteAntiAtomDemoseitWac.txt,2010-10-11,2010,10,11
2010-10-11-MassenprotestinMünchenZehn.txt,MassenprotestinMünchenZehn.txt,2010-10-11,2010,10,11
2010-10-23-ErinnerungenanWackersdorf.txt,ErinnerungenanWackersdorf.txt,2010-10-23,2010,10,23
2010-10-28-AllesamFlussDerWasserma.txt,AllesamFlussDerWasserma.txt,2010-10-28,2010,10,28
2010-11-06-Kühlundnüchternbleiben.txt,Kühlundnüchternbleiben.txt,2010-11-06,2010,11,06
2010-11-13-VorsichtSchlüsselprojektWi.txt,VorsichtSchlüsselprojektWi.txt,2010-11-13,2010,11,13
2010-11-26-DemBewahrenSchönenGuten.txt,DemBewahrenSchönenGuten.txt,2010-11-26,2010,11,26
2010-12-06-Stuttgart21BilderdesProte.txt,Stuttgart21BilderdesProte.txt,2010-12-06,2010,12,06
2010-12-14-GrünetrauernumArminWeiß.txt,GrünetrauernumArminWeiß.txt,2010-12-14,2010,12,14
2011-01-08-Chinaunddiefastunerschöpfl.txt,Chinaunddiefastunerschöpfl.txt,2011-01-08,2011,01,08
2011-01-08-MiteinerTaubefingallesan.txt,MiteinerTaubefingallesan.txt,2011-01-08,2011,01,08
2011-01-10-ChinaunddieTechnikdesSchn.txt,ChinaunddieTechnikdesSchn.txt,2011-01-10,2011,01,10
2011-02-16-KostspieligerVertragDieLag.txt,KostspieligerVertragDieLag.txt,2011-02-16,2011,02,16
2011-02-16-ProtestegegenCastorTranspor.txt,ProtestegegenCastorTranspor.txt,2011-02-16,2011,02,16
2011-03-05-WackersdorferAltlastBayerns.txt,WackersdorferAltlastBayerns.txt,2011-03-05,2011,03,05
2011-03-09-EineschmerzhafteGeschichte.txt,EineschmerzhafteGeschichte.txt,2011-03-09,2011,03,09
2011-03-10-DieUnbeugsamen35Jahrepoli.txt,DieUnbeugsamen35Jahrepoli.txt,2011-03-10,2011,03,10
2011-03-14-Bleibtallesnochschlimmer.txt,Bleibtallesnochschlimmer.txt,2011-03-14,2011,03,14
2011-03-14-GermanAngstHansSöllnersin.txt,GermanAngstHansSöllnersin.txt,2011-03-14,2011,03,14
2011-03-15-AntiAtomkraftDemoinMünchen.txt,AntiAtomkraftDemoinMünchen.txt,2011-03-15,2011,03,15
2011-03-16-BadenWürttembergJapanMapp.txt,BadenWürttembergJapanMapp.txt,2011-03-16,2011,03,16
2011-03-18-KommentarAtomPaulusÖkoSa.txt,KommentarAtomPaulusÖkoSa.txt,2011-03-18,2011,03,18
2011-03-19-UnterBayernWellkommenauf.txt,UnterBayernWellkommenauf.txt,2011-03-19,2011,03,19
2011-03-22-AbschaltenabschaltenMa.txt,AbschaltenabschaltenMa.txt,2011-03-22,2011,03,22
2011-03-25-BadenWürttembergElefantenru.txt,BadenWürttembergElefantenru.txt,2011-03-25,2011,03,25
2011-03-26-EinLandunterWechselstromI.txt,EinLandunterWechselstromI.txt,2011-03-26,2011,03,26
2011-03-27-ErfolgsgeschichteeinerPartei.txt,ErfolgsgeschichteeinerPartei.txt,2011-03-27,2011,03,27
2011-03-28-LachendeSonnenimRegen300.txt,LachendeSonnenimRegen300.txt,2011-03-28,2011,03,28
2011-04-05-DasRestrisikoinderJustiz.txt,DasRestrisikoinderJustiz.txt,2011-04-05,2011,04,05
2011-04-06-DieErfinderdessanftenAtoma.txt,DieErfinderdessanftenAtoma.txt,2011-04-06,2011,04,06
2011-04-07-WasbedeutetKWU.txt,WasbedeutetKWU.txt,2011-04-07,2011,04,07
2011-04-09-GepflegteBeleidigungenSeine.txt,GepflegteBeleidigungenSeine.txt,2011-04-09,2011,04,09
2011-04-09-UnterBayernSöderundder.txt,UnterBayernSöderundder.txt,2011-04-09,2011,04,09
2011-04-23-NoHeadlineInOriginal.txt,NoHeadlineInOriginal.txt,2011-04-23,2011,04,23
